Origin_Node,Destination_Store,Travel_Time_Mins
54493108,STARBUCKS #5685,2.05
54493108,STARBUCKS #11025,3.37
54493108,STARBUCKS #5369,4.06
54493108,STARBUCKS COFFEE #11236,6.5
54493108,STARBUCKS #2892,8.09
54493108,STARBUCKS COFFEE #10224,8.76
54493108,STARBUCKS #7974,9.13
54493108,TARGET ARLINGTON T-0291 STARBUCKS,9.14
54493108,STARBUCKS ARLINGTON & 91 #6977,9.33
54493108,STARBUCKS #10889,10.91
54493108,STARBUCKS #10666,12.78
54493108,STARBUCKS #5370,13.07
54493108,STARBUCKS #6616,14.58
54493108,STARBUCKS COFFEE #17691,14.76
54493108,STARBUCKS #9628,14.77
54493108,ALBERTSONS #6514 STARBUCKS,17.42
54493108,STARBUCKS #6864,17.54
